OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
4124,520,6538,1585,212,583,659,126,216
4125,517,6544,1587,212,584,663,129,216
3848,421,6276,1631,212,582,858,180,224
3856,409,3860,1001,212,582,59,105,208
3915,406,4678,1195,212,583,78,75,210
997,1351,1467,1472,211,582,671,123,212
3853,562,3229,838,77,198,8,77,260
2153,1115,5379,2498,208,430,2546,160,247
3944,471,5492,1393,201,1010,922,198,232
3948,446,5841,1480,210,548,1083,193,228
3901,425,5899,1512,211,551,730,127,214
3912,400,5957,1523,211,551,329,137,212
3900,410,6023,1544,211,556,2515,161,242
3898,462,6502,1668,211,557,62,107,211
3888,458,6518,1676,211,566,681,127,213
3930,434,6706,1706,211,562,37,95,209
3939,452,6726,1708,212,565,67,107,209
3941,453,6832,1734,211,565,45,98,207
3971,464,7050,1775,211,524,58,101,208
3947,452,6378,1616,211,521,87,69,208
3995,461,6937,1737,211,520,3014,164,248
3896,442,6865,1762,210,530,84,71,207
3901,457,6831,1751,211,532,86,70,208
3950,466,6875,1741,211,517,667,130,214
3972,479,6917,1741,212,519,83,68,207
3952,432,6884,1742,211,523,85,70,211
3922,432,6235,1590,212,522,85,71,208
3992,465,6845,1715,212,521,96,70,209
3995,471,6922,1733,211,521,91,74,208
3953,478,6844,1731,211,521,89,77,209
3963,474,6904,1742,212,520,90,73,207
3939,474,6869,1744,211,520,91,74,209
3975,472,6697,1685,212,519,1034,192,226
3954,457,6914,1749,211,520,66,138,210
4450,397,6582,1479,211,520,113,116,210
4398,404,6560,1492,212,519,637,129,215
4391,396,6646,1513,211,521,655,128,214
4436,399,6660,1502,211,520,113,114,209
4114,371,6110,1485,209,376,57,101,208
4465,403,6598,1478,208,357,87,105,209
2400,185,2686,1119,209,356,87,108,210
4510,472,5850,1297,206,351,8,83,203
4522,428,6018,1331,208,355,251,199,215
4473,414,5859,1310,208,361,121,75,206
4422,406,6082,1375,209,364,110,73,209
4449,399,6710,1508,209,356,105,76,208
4436,399,6727,1516,209,356,118,72,206
4438,402,6748,1521,209,359,116,73,206
4430,396,6698,1512,209,360,56,115,205
4386,401,6671,1521,209,357,15,103,205
4427,403,6708,1515,209,361,69,127,209
4433,404,6714,1515,209,363,1031,180,224
4421,398,6619,1497,209,357,251,173,209
4420,401,6636,1501,209,350,40,91,208
4422,404,6633,1500,209,356,31,93,209
4496,406,6648,1479,209,349,107,76,207
4463,381,6651,1490,209,355,110,75,209
4429,381,6414,1448,208,350,74,124,208
4473,408,6260,1400,209,357,115,72,208
4457,405,6316,1417,209,354,108,72,209
4517,407,6318,1399,209,351,277,203,216
4497,411,6292,1399,209,356,111,83,210
4480,411,6272,1400,209,347,891,176,223
4231,570,6554,1549,209,352,445,185,218
4321,556,6823,1579,209,349,70,103,207
4327,555,6796,1570,209,352,851,180,221
4333,558,6747,1557,209,351,114,75,209
4354,542,6835,1570,209,350,8,86,204
4342,534,6798,1566,209,348,8,84,204
4127,507,6460,1565,209,345,8,84,203
4301,530,6789,1579,209,347,328,204,216
4332,545,6875,1587,209,348,107,74,207
4303,537,6817,1584,209,349,104,77,209
4336,550,6822,1573,209,345,109,78,206
4329,571,6838,1579,209,349,95,74,207
4349,565,7186,1652,209,350,299,176,210
4333,545,6894,1591,209,348,111,67,208
4341,551,7164,1650,209,353,114,67,201
4329,565,7310,1689,209,353,114,63,213
4334,577,7072,1632,209,354,97,69,208
4331,576,7088,1637,209,355,100,70,212
4309,588,6630,1539,209,354,105,69,210
4311,595,6083,1411,209,352,65,130,215
4325,597,5926,1370,209,351,91,133,214
4324,595,6488,1500,209,348,98,67,207
4318,596,6986,1618,209,352,98,67,210
4311,604,6594,1530,209,352,97,69,210
4313,604,6190,1435,209,351,94,71,213
4350,599,6813,1566,209,350,98,68,211
4355,587,7192,1652,209,349,98,67,213
4353,572,7185,1651,209,351,108,73,208
4376,549,6970,1593,209,350,287,204,216
4400,547,6779,1541,209,353,17,79,205
4415,550,6783,1536,209,355,79,106,209
4407,546,6785,1540,209,350,8,119,205
4423,422,6878,1555,209,348,542,117,217
4416,425,6969,1578,209,352,454,142,215
4409,418,7187,1630,209,346,103,77,209
4402,411,7202,1636,209,351,403,205,217
4407,409,7209,1636,209,348,924,180,221
4419,408,7203,1630,209,351,65,116,209
4393,406,7177,1634,209,351,111,123,209
4392,404,7189,1637,209,350,103,71,204
4437,406,7221,1627,209,350,102,72,203
4403,406,7229,1642,209,348,100,72,206
4403,406,7199,1635,209,350,624,181,210
4436,407,7336,1654,209,344,388,146,209
4451,407,7404,1663,209,343,385,146,208
4431,408,7355,1660,209,346,352,148,207
4385,409,7382,1683,209,344,354,146,205
4360,409,7313,1677,209,345,400,148,209
4405,410,7332,1664,209,343,450,146,206
4411,410,7121,1614,209,346,389,148,206
4380,412,6741,1539,209,341,378,143,205
4366,416,7284,1668,209,338,450,154,209
4239,459,6260,1477,210,363,103,69,200
4252,458,6223,1463,209,334,103,71,198
4234,458,5765,1362,209,338,104,71,199
4270,463,6216,1456,209,343,101,68,203
4229,471,6213,1469,208,331,108,69,197
4325,449,6294,1455,209,361,108,68,199
4303,450,6291,1462,209,332,96,155,200
3223,341,4759,1477,209,341,75,107,196
1733,129,1577,910,103,194,8,95,207
4278,553,6177,1444,207,346,1099,182,227
4240,469,6186,1459,208,328,1103,182,215
4233,457,6255,1478,208,325,56,113,196
4251,454,6314,1485,208,329,824,129,206
4262,452,6318,1483,208,329,108,65,196
4238,452,6328,1493,208,326,108,66,196
4249,451,6015,1416,208,326,101,64,196
4280,452,6308,1474,208,330,422,179,193
3850,409,5679,1475,209,332,106,70,195
4267,450,6282,1472,208,330,1428,185,220
4245,452,6300,1484,208,328,103,66,196
4226,451,6497,1537,208,332,106,61,197
4224,454,6662,1577,208,330,8,80,196
4219,453,6651,1576,208,331,8,80,194
4241,454,6684,1576,208,328,117,67,192
2972,326,4742,1596,208,332,16,78,192
4224,457,6637,1571,203,330,21,80,193
4217,458,6618,1570,208,329,8,79,199
4219,458,6579,1559,208,327,9,78,192
3728,405,5883,1578,209,328,9,78,194
4246,453,6622,1559,208,325,9,77,193
4226,459,6616,1566,208,327,9,77,193
4123,446,6338,1537,209,329,109,66,196
4124,443,6382,1548,209,328,109,63,198
4115,444,6386,1552,209,334,112,65,198
4067,442,6391,1572,209,330,113,66,199
4102,443,6424,1566,208,331,109,66,195
4062,446,6313,1554,209,332,115,64,195
4050,446,6296,1554,209,337,23,121,196
4078,441,6256,1534,209,328,348,179,202
4085,435,6265,1534,209,328,963,179,210
4136,430,6101,1475,209,330,320,136,201
4101,433,5982,1459,209,333,653,127,206
4079,434,5954,1460,209,326,105,68,197
4105,433,5934,1445,209,328,1460,187,221
4065,437,5899,1451,209,325,675,127,204
4374,383,5911,1351,209,324,369,144,195
4417,396,5711,1293,209,324,8,78,195
4420,392,6001,1358,209,321,8,76,194
4390,389,6151,1401,209,330,1449,187,220
4390,391,6012,1369,209,327,1421,187,222
4390,397,5978,1362,209,338,1439,187,221
4389,392,6102,1390,209,324,967,191,211
4347,373,6021,1385,209,323,1066,192,213
4367,384,6111,1399,209,323,1149,193,215
4348,377,6061,1394,209,325,1093,193,214
4385,374,6099,1391,209,328,335,144,198
4380,375,5926,1353,209,329,342,145,200
4394,410,6104,1389,209,329,338,140,200
4365,411,5762,1320,209,326,8,79,191
4388,410,6105,1391,209,326,9,76,194
4408,412,6130,1391,209,323,9,75,190
4386,418,6150,1402,209,322,104,71,194
4382,416,6124,1398,209,333,95,70,194
4382,407,6108,1394,209,327,95,69,192
4380,409,6134,1400,209,331,95,68,195
4371,407,6097,1395,209,327,101,68,194
4169,398,6230,1494,209,326,95,69,193
4197,390,6212,1480,209,328,67,114,194
4218,390,6207,1472,209,327,67,106,194
4206,391,6211,1477,209,327,17,122,194
4200,388,6205,1477,209,324,1020,192,212
4216,383,6202,1471,209,325,98,70,195
4230,384,6133,1450,209,321,101,69,192
4196,377,6111,1456,209,325,1050,192,211
4224,387,6127,1451,209,323,1002,191,212
4216,384,6141,1457,209,324,9,76,191
4225,377,6006,1422,209,331,9,73,190
4210,381,6139,1458,209,324,18,73,189
4226,387,6148,1455,209,326,9,73,191
4205,387,5682,1351,209,329,9,72,191
4050,460,5939,1466,209,330,9,71,206
4062,464,5888,1450,209,322,11,71,191
4067,459,5990,1473,209,324,22,71,190
4030,455,5968,1481,209,321,981,191,213
4033,450,6088,1509,209,322,289,76,198
4079,458,5990,1468,209,324,230,75,199
4066,447,5968,1468,209,322,219,75,198
4055,444,5959,1470,209,323,184,75,194
4074,444,5900,1448,209,325,205,74,197
4084,442,5888,1441,209,325,168,74,196
4086,436,6027,1475,209,325,35,101,194
4097,420,6067,1481,209,326,1017,190,212
4089,415,6023,1473,209,323,9,113,192
4056,413,6004,1480,208,320,19,122,196
4128,418,6054,1467,209,318,173,131,199
4128,420,6042,1463,209,319,9,111,198
4128,419,5830,1412,209,317,60,121,192
3978,594,5807,1460,209,316,9,108,194
3989,592,5857,1468,209,320,71,108,196
3978,594,4989,1254,209,322,288,180,201
3946,614,5260,1333,209,322,38,102,192
3927,592,5767,1469,209,321,942,185,211
3920,594,5681,1449,209,319,9,71,191
3922,600,5794,1477,209,319,932,190,214
3950,601,5823,1474,209,318,265,67,200
3943,604,5804,1472,209,320,524,70,204
3963,602,5827,1470,209,320,2462,161,224
3960,608,5765,1456,209,319,61,117,195
3971,606,5783,1456,209,317,128,75,195
3934,608,5740,1459,209,318,8,70,190
3934,609,5754,1463,209,319,951,124,199
3840,633,5739,1495,209,318,219,64,196
2656,443,3991,1503,209,337,236,63,194
3853,638,5782,1500,208,314,176,64,197
3838,641,5761,1501,207,314,178,63,195
3845,649,5764,1499,209,315,177,63,196
3853,637,5773,1498,208,312,186,65,191
3856,644,5702,1479,207,310,143,140,193
3840,641,5725,1491,208,312,182,66,195
3847,644,5732,1490,208,312,911,189,210
3837,648,5653,1473,208,304,950,189,206
3846,650,5743,1493,209,316,907,188,206
3853,653,5709,1482,208,317,902,189,211
3822,656,5736,1501,209,317,858,189,211
3884,663,5730,1475,208,314,123,136,200
3868,669,5689,1471,208,318,186,71,194
3858,687,5694,1476,208,319,243,137,196
3866,660,5677,1468,208,313,184,71,193
4116,461,5316,1291,208,317,196,70,188
4129,457,5290,1281,208,317,242,117,189
4134,456,5294,1281,207,313,2400,160,220
4167,457,5284,1268,208,316,116,72,192
4166,458,5381,1292,208,315,900,187,207
4166,462,5312,1275,208,316,234,175,192
4166,464,5267,1264,208,316,759,126,198
4165,464,5265,1264,207,315,8,75,186
4167,466,5253,1261,208,315,868,186,205
