Well,Completion type,"Downhole Total Contribution, %","downhole Oil Rate, bopd ","Reservoir Permeability, mD ","Thickness,ft","coCNuctivity, md-ft"
PN-A02,Frac,18,927,50,30,1500
PN-A02,Frac,43,2215,4,60,240
PN-A02,TTP,24,1236,32,20,640
PN-A02,TTP,14,721,12,15,180
PN-A03,TTP,1.3,27,16,5,80
PN-A03,TTP,5.8,119,44,25,1100
PN-A03,TTP,1.5,31,80,20,1600
PN-A03,TTP,1,21,3,5,15
PN-A03,TTP,0.6,12,15,20,300
PN-A03,TTP,1.2,25,9,30,270
PN-A03,Frac,74,1517,2,40,80
PN-A03,Frac,15,308,60,20,1200
PN-A06,TTP,1.4,35,19,6,114
PN-A06,TTP,0.6,15,4,15,60
PN-A06,Frac,30,757,3,15,45
PN-A06,TTP,22,555,25,20,500
PN-A06,Frac,45,1135,4,25,100
PN-A07,Frac,1.4,46,3,5,15
PN-A07,TTP,4.5,146,21,15,315
PN-A07,TTP,11.2,364,10,15,150
PN-A07,Frac,72,2341,12,40,480
PN-A07,TTP,2.8,91,5,35,175
PN-A07,Frac,2.4,77,3,60,180
PN-A09,TTP,0,0,3,5,15
PN-A09,TTP,25,138,15,20,300
PN-A09,Frac,88,487,16,90,1440
PN-A10,Frac,11,231,11,15,165
PN-A10,TTP,28,588,48,25,1200
PN-A10,TTP,2.9,61,2.8,5,14
PN-A10,TTP,1,21,15,15,225
PN-A10,TTP,0.5,11,8,10,80
PN-A10,Frac,57,1197,50,35,1750
PN-A14,TTP,28,607,47,25,1175
PN-A14,TTP,21,455,42,25,1050
PN-A14,Frac,49,1062,40,25,1000
PN-A14,TTP,2.4,52,5,15,75
PN-A18,TTP,1,3,50,20,1000
PN-A18,TTP,1,3,8.3,10,83
PN-A18,TTP,6.6,23,11,10,110
PN-A18,Frac,24,82,23,35,805
PN-A18,Frac,0,0,0.5,5,3
PN-A18,Frac,63,215,11,50,550
CN-A04,Frac,15,1504,6,35,210
CN-A04,Frac,66.7,1877,4,92,368
CN-A04,Frac,15.8,2261,0.1,44,4
CN-A04,TTP,0.1,23,0.06,6,0.36
CN-A04,TTP,0.7,127,0.4,16,6.4
CN-A04,TTP,1.7,299,0.4,32,12.8
CN-A07,Frac,7.8,319.644,0.05,42,2.1
CN-A07,Frac,41.4,1696.572,8,87,696
CN-A07,Frac,1.7,69.666,2,76,152
CN-A07,Frac,0.4,16.392,0.2,97,19.4
CN-A07,TTP,31.6,1294.968,25,30,750
CN-A07,TTP,10.3,422.094,30,20,600
CN-A07,TTP,6.8,278.664,5,90,450
CN-A03ST1,Frac ,0,0,2,103,206
CN-A03ST1,Frac ,4,74.08,0.01,55,0.55
CN-A03ST1,Frac ,0,0,3,36,108
CN-A03ST1,TTP ,5,92.6,3,33,99
CN-A03ST1,TTP ,1,18.52,7,12,84
CN-A03ST1,TTP ,19,351.88,15,50,750
CN-A03ST1,TTP ,51,944.52,20,25,500
CN-A03ST1,TTP ,18,333.36,18,30,540
CN-A03ST1,TTP ,2,37.04,6,62,372
CN-A09 ,TTP,2,39,3,10,30
CN-A09 ,TTP,4,59.9,6,11,66
CN-A09 ,TTP,4,152.2,15,10,150
CN-A09 ,TTP,20,425.4,20,15,300
CN-A09 ,TTP,2,68.4,8,17,136
CN-A09 ,TTP,6,159,25,20,500
CN-A12,TTP ,29.3,347,0.9,13,11.7
CN-A12,TTP ,18.8,223,25,13,325
CN-A12,TTP ,13.1,155,3,11,33
CN-A12,TTP,0,0,2,8,16
CN-A10 ,TTP ,11.6,13.9,3,9,27
CN-A10 ,TTP ,2.1,0,0.6,10,6
CN-A10 ,TTP ,5.3,117,2,5,10
CN-A10 ,TTP ,47.9,187,30,15,450
CN-A10 ,TTP ,20.7,128,8,14,112
CN-A10 ,TTP ,1,0,0.5,42,21
CN-A10 ,TTP ,0,0,4,17,68
CN-A10 ,TTP,0.8,0,5,16,80
CN-A10 ,TTP,0,0,0.3,15,4.5
CN-A10 ,TTP,0,0,6,10,60
CN-A10 ,TTP ,0,0,2,7,14
CN-A10 ,TTP ,0,0,0.8,9,7.2
CN-A10 ,TTP ,0.3,4,6,11,66
CN-A10 ,TTP ,0.8,0,0.08,30,2.4
CN-A10 ,TTP ,1.3,0,2,5,10
CN-A01,TTP ,2,167,3.5,32,112
CN-A01,TTP ,76,2838,20,59,1180
CN-A01,TTP ,5.2,461,5.2,40,208
CN-A01,TTP ,2.3,320,0.5,28,14
CN-A01,TTP ,10.2,938,0.5,37,18.5
CN-A01,TTP ,1.5,318,0.2,16,3.2
CN-A01,TTP ,9.3,2095,0.5,54,27
